71226,-8040.4464
133278,-8039.5830
82561,-8039.3764
46858,-8039.2078
58204,-8038.9619
14763,-8038.9428
47315,-8038.9428
64650,-8038.9293
43008,-8038.9242
123346,-8038.8549
78551,-8038.8549
109040,-8038.5862
122182,-8038.5550
115785,-8038.5200
51506,-8038.4043
110547,-8038.3397
2114,-8038.2321
101437,-8038.2202
2969,-8038.1273
115709,-8038.0882
8274,-8038.0882
53405,-8038.0232
5980,-8037.9173
102201,-8037.8024
63970,-8037.8024
127123,-8037.7735
43734,-8037.7643
114157,-8037.7545
39372,-8037.7545
132745,-8037.7496
71724,-8037.7461
60337,-8037.7052
122668,-8037.6581
19829,-8037.5838
5801,-8037.5724
128843,-8037.5724
45789,-8037.4721
118938,-8037.4079
68082,-8037.4079
105109,-8037.3702
91321,-8037.3326
130942,-8037.3290
110003,-8037.3290
35656,-8037.3119
44245,-8037.3119
32664,-8037.3119
96601,-8037.3070
15016,-8037.3033
39722,-8037.2750
132316,-8037.2645
